0,1,2,3,4,5
67,1,,DENLY,,0
,,,DENLY,,0
,,,DENLY,,0
,,,DENLY,,0
,,,DENLY,,0
,,24,DENLY,,0
,,,DENLY,,0
,,4,DENLY,,0
,,,DENLY,,0
,,,DENLY,,0
,,,DENLY,,0
,,,DENLY,,0
81,1,,DENLY,,0
82,1,,DENLY,,0
,,,DENLY,,0
87,1,,DENLY,,0
88,1,,DENLY,,0
,,,DENLY,,0
,,75,THISOVER,,0
,,,,,0
,,,DENLY,,0
96,1,,DENLY,,0
96,1,,ON,,0
,,,aoe,a,0
,,,,,0
110,1,,,Re,0
,,,DENLY,,0
115,2,,DENLY,,0
115,2,,ae,,0
,,,DENLY,,0
,,,DENLY,,0
116,2,,DENLY,,0
,,,DENLY,oon,0
116,2,,DENLY,,0
,,,DENLY,,0
,,,DENLY,,0
119,2,,DENLY,,0
,,,DENLY,,0
,,,DENLY,,0
,,,DENLY,,0
121,2,,DENLY,,0
123,2,,DENLY,,0
130,2,,DENLY,,0
,,,DENLY,,0
135,2,,DENLY,,0
135,2,,DENLY,,0
135,2,,DENLY,,0
,,,DENLY,,0
136,2,,DENLY,,0
138,2,,DENLY,,0
142,2,,DENLY,ae,0
,,,ae,,0
146,2,,,,0
146,2,,cee,,0
147,2,,DENLY,,0
147,2,,DENLY,,0
149,2,,DENLY,Sd,0
149,2,,ae,,0
,,,DENLY,,0
,,,DENLY,sy,0
151,2,,RA,,0
,,,DENLY,,0
,,36,,,0
154,2,,DENLY,,0
,,,IV,,0
154,3,,ae,HENRIQUES,0
154,3,,DENLY,,0
154,3,,DENLY,wae,0
154,3,,DENLY,ae,0
,,,DENLY,ap,0
156,3,,,,0
,,17,,,0
158,3,,DENLY,ae,0
,,,DENLY,,0
,,,Raed,,0
,,,Raed,,0
159,3,,Rae,,0
159,3,,DENLY,,0
,,,DENLY,,0
,,,DENLY,,0
159,3,,DENLY,,0
159,3,,Rae,,0
,,,Le,,0
161,3,,DENLY,,0
,,,DENLY,,0
167,3,,,,0
,,34,DENLY,,0
171,3,,DENLY,,0
,,,DENLY,,0
173,3,,DENLY,,0
,,,DENLY,,0
175,3,,DENLY,,0
,,,DENLY,,0
,,,DENLY,,0
,,,DENLY,,0
181,4,,DENLY,,0
181,4,,DENLY,,0
,,,DENLY,BRATHWAITE,2
186,4,,DENLY,ae,0
,,,DENLY,,0
,,,VIN,,0
186,5,,DENLY,,0
186,5,,DENLY,,0
186,5,,DENLY,,0
,,,,,0
,,7,,,0
