0,1,2,3,4,5,6
L,140,3,,GOTCH,MAXWELL,2
L,,,,,,0
R,,,,,,0
R,,,,,,0
L,142,3,,GOTCH,,0
L,142,3,,,,0
R,,,,,oe,0
L,142,4,,,,0
R,,,,,,0
R,,,,,,0
L,,,,,,0
L,142,4,,,,0
L,,,,,,0
L,,,,,MAXWELL,2
L,,,,FAULKNER,,0
R,,,,,,0
L,147,4,,,,0
L,149,4,,FAULKNER,MAXWELL,2
R,,,,,,0
R,,,,,,0
R,,,,,,0
L,,,,FAULKNER,,0
L,149,4,,FAULKNER,MAXWELL,2
R,,,,,,0
R,,,,,,0
R,,,,,,0
L,151,4,,sie,aS,0
L,151,4,,,,0
L,,,,,,0
L,153,4,,FAULKNER,,0
R,,,,,,0
L,154,4,,FAULKNER,,0
L,154,4,,ee,MAXWELL,2
L,,,,,,0
R,,,,,,0
R,,,,,,0
L,156,4,,to,Ye,0
L,,,,FRAVJELIEW,,0
L,156,4,,,,0
L,157,4,,FAULKNER,,0
L,157,4,,FAULKNER,,0
L,157,4,,FAULKNER,MAXWELL,2
L,157,4,35,FAULKNER,,0
L,158,4,,FAULKNER,,0
L,159,4,,FAULKNER,,0
L,159,4,,FAULKNER,MAXWELL,2
L,160,4,,FAULKNER,,0
L,160,4,,FAULKNER,,0
L,161,4,,,,0
L,161,4,,FAULKNER,MAXWELL,2
R,,,,,,0
R,,,,,,0
R,,,,,,0
R,,,,Uo,,0
R,,,,,,0
L,,,,,,0
L,161,5,,ae,MAXWELL,0
L,162,5,,,,0
L,,,,,MAXWELL,0
L,,,,,,0
L,,,,FAULKNER,,0
L,165,5,,,,0
L,165,5,,,,0
L,165,5,12,,,0
R,,,,,,0
R,,,,,,0
R,,,,,,0
L,167,5,,,GULBIS,2
R,,,,,,0
L,168,5,,,,0
L,170,5,,,,0
L,170,5,,FAULKNER,,0
L,,,,,GULBIS,2
L,171,5,,,GULBIS,2
R,,,,,,0
R,,,,,,0
L,,,,FAULKNER,GULBIS,2
L,,,,,,0
R,,,,,,0
L,,,,FAULKNER,,0
